2020-03-31 22:32:34.847835- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Barbados'), kwargs: {}, result: https://en.wikipedia.org/wiki/Barbados
2020-03-31 22:32:35.800595- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Brunei'), kwargs: {}, result: https://en.wikipedia.org/wiki/Brunei
2020-03-31 22:32:36.652532- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Bhutan'), kwargs: {}, result: https://en.wikipedia.org/wiki/Bhutan
2020-03-31 22:32:37.451166- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Bouvet Island'), kwargs: {}, result: https://en.wikipedia.org/wiki/Bouvet_Island
2020-03-31 22:32:38.080624- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Botswana'), kwargs: {}, result: https://en.wikipedia.org/wiki/Botswana
2020-03-31 22:32:38.797277- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Central African Republic'), kwargs: {}, result: https://en.wikipedia.org/wiki/Central_African_Republic
2020-03-31 22:32:39.682734- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Canada'), kwargs: {}, result: https://en.wikipedia.org/wiki/Canada
2020-03-31 22:32:40.332032- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Cocos (Keeling) Islands'), kwargs: {}, result: https://en.wikipedia.org/wiki/Cocos_(Keeling)_Islands
2020-03-31 22:32:41.415767- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Switzerland'), kwargs: {}, result: https://en.wikipedia.org/wiki/Switzerland
2020-03-31 22:32:42.024130- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Chile'), kwargs: {}, result: https://en.wikipedia.org/wiki/Chile
2020-03-31 22:32:42.625602- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'China'), kwargs: {}, result: https://en.wikipedia.org/wiki/China
2020-03-31 22:32:43.408529- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Ivory Coast'), kwargs: {}, result: https://en.wikipedia.org/wiki/Ivory_Coast
2020-03-31 22:32:44.001594- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Cameroon'), kwargs: {}, result: https://en.wikipedia.org/wiki/Cameroon
